Id	species	individual	jaw type	tooth position	replicate	ProcCoord1	ProcCoord2	ProcCoord3	ProcCoord4	ProcCoord5	ProcCoord6	ProcCoord7	ProcCoord8	ProcCoord9	ProcCoord10	ProcCoord11	ProcCoord12	ProcCoord13	ProcCoord14	ProcCoord15	ProcCoord16	ProcCoord17	ProcCoord18	ProcCoord19	ProcCoord20	ProcCoord21	ProcCoord22	ProcCoord23	ProcCoord24	ProcCoord25	ProcCoord26	ProcCoord27	ProcCoord28
ca013L06B	ca	013	L	06	B	0.3492322906840051	0.15779277323226262	0.341222476334696	0.051889237229198845	0.327477450780212	0.023816024475205855	-0.004340119119018257	-0.44231090676269535	-0.27791107376376767	0.0069106025433966975	-0.2983350580160613	0.037706657747814995	-0.31150672247334005	0.12203217821166412	-0.25497642481226945	0.15330671921472558	0.032096698049476034	0.11319139411227225	0.02661455835188972	0.0532050896327892	0.022941231256423566	-0.03436110573111055	0.021875247504901774	-0.07897466513096306	0.14029704188956132	-0.08837509897658474	-0.11468759666670728	-0.07582889979797629
ca013L07B	ca	013	L	07	B	0.3780235613626977	0.1264278527024927	0.3554456619630341	0.05178519434544942	0.3442767449692535	0.02249502154976042	-0.0024322123277663865	-0.39102083920009684	-0.2891742170374075	0.018878392302891463	-0.3046294305706677	0.0394000853501236	-0.3239568523422856	0.1155162600610084	-0.2810511878481324	0.1352621416593799	0.031512125614619045	0.10185826792802485	0.01931691409540625	0.035199962180437736	0.01607755374057719	-0.026007350682521278	0.012892795974168892	-0.0790616509841096	0.1462916477075491	-0.07358965039253025	-0.1025931053010475	-0.07714368682031111
ca013L09B	ca	013	L	09	B	0.37492210948297927	0.13207438922962317	0.373453986858269	0.058512075639917796	0.3653890147856575	0.025843585662369935	-0.0051749574410687935	-0.3737256853841766	-0.29135504248473687	0.01097285630800967	-0.30824774990762305	0.03589625400323708	-0.3084684966032895	0.12257350950772745	-0.27525050880570584	0.13586835159487118	0.025134065670966637	0.09201872700322315	0.013909926221432646	0.032638701513188345	0.007434701748394151	-0.03901923445087305	0.00998091619955934	-0.0767964441109205	0.130848506053388	-0.07590583171846804	-0.11257647177822155	-0.08095125479772936
ca013U01B	ca	013	U	01	B	0.2970145055303098	0.2190662825113717	0.2884264140850614	0.04720780210507547	0.2703762584916734	-0.0063482026676883255	0.0021791637970606376	-0.5533276057985508	-0.21294098496918906	-0.0439065923205082	-0.2573453326245805	0.0031709441718497933	-0.2659009933864949	0.16962488755183164	-0.19470033506600176	0.22407383614992213	-0.013104250023028702	0.2113431422856784	0.01315180517326643	0.09455015850947923	0.016826375531480704	-0.04924907896899398	0.014553649616161188	-0.1030265932741125	0.2096648378664649	-0.10314931055100376	-0.1682011140221827	-0.11002966970435031
ca013U10B	ca	013	U	10	B	0.34896260238721943	0.09330409910305848	0.3298799261067715	0.004717825829333187	0.29678328276374505	-0.041820764027219855	0.21270641578831623	-0.35987291477516764	-0.28024888674949383	0.020391679971548678	-0.30228046797047353	0.061991767148455876	-0.32492575329407997	0.16080674971814432	-0.2686049800094164	0.1835985959663866	0.015159130306527898	0.10853144923764665	0.002482550970211897	0.04760758803844555	-0.0026712176626715765	-0.043341109997513214	-6.866355081267522E-4	-0.07736745286587264	0.2206320215370644	-0.10234526654411125	-0.24718798866559444	-0.05620224680313487
ca013U02B	ca	013	U	02	B	0.30456306558531576	0.1967245803094238	0.29529647961081557	0.05745764413744181	0.2629645663717154	-0.01364080025392033	0.05791430237738665	-0.5153338151792144	-0.21961479271821857	-0.020970829117485542	-0.25718986295838653	0.05037777550871816	-0.2893424255490816	0.18288439178320015	-0.2329843921873445	0.21498244687188714	0.005538585349559318	0.1711527969604329	0.01723357186987408	0.07129529939111792	0.014992852194007944	-0.06059236716765734	0.018283540246629187	-0.11144174147744278	0.1833522829770984	-0.10669548290101262	-0.161007773169371	-0.11619989886548816
ca013U03B	ca	013	U	03	B	0.30999816645843115	0.1656917815580326	0.3042073533006356	0.04878077729936833	0.2706612163847344	-0.009556537278251877	0.10950918703537625	-0.49276081751286116	-0.24331363188247662	-0.006493609585845585	-0.27216570390997474	0.056012314103874625	-0.3033445654967832	0.17423023131648327	-0.21549529265219453	0.21070688882189478	0.008909304903522632	0.14518026343842516	0.009204275663909618	0.07021354266052875	0.01348876811106576	-0.06153029556426124	0.010738547861474136	-0.10406844873762532	0.18121551941988073	-0.10584113224979984	-0.1836131451976014	-0.09056495826996176
ca013U04B	ca	013	U	04	B	0.2916265341854438	0.16770132346889674	0.29581587905211215	0.04640776787165032	0.27340624507770234	-0.027811030188387514	0.13481245181736054	-0.46980049365917925	-0.25123872242751777	0.012703410983676111	-0.2819992122831483	0.07257934154980301	-0.30319556631129757	0.19285934288484047	-0.2479462084353514	0.21029754431456954	0.01876344899156501	0.12919566055472784	0.018276285316636887	0.054268467589197476	0.015656044062050237	-0.07113802670020931	0.016072883179416086	-0.10474122527815766	0.19118125116275636	-0.11383203919411133	-0.17123131338772896	-0.09869004419731651
ca013U05B	ca	013	U	05	B	0.31795291883398313	0.14702092402708133	0.3154036561390962	0.042627422467363264	0.27729803728344193	-0.01780505854806374	0.14550372239884798	-0.44388927246202403	-0.2734759435442431	0.02627640352782009	-0.28783860231724706	0.07434965356781599	-0.2984241422981981	0.17148151131482084	-0.2499193785095298	0.2004939338607893	0.010983089745664532	0.11908420948137992	0.009946275695127689	0.03643412242548736	0.01268523138297613	-0.06478920806724417	0.01177043524525111	-0.10180111684018883	0.1876280020432921	-0.10190186106256618	-0.1795133020984617	-0.08758166369247185
ca013U06B	ca	013	U	06	B	0.32511111967050005	0.12672162499381218	0.307728675382944	0.028030285181836385	0.2644652047601085	-0.027512526234780565	0.14591266981927792	-0.42983148191728354	-0.260590434280836	0.007877379594748692	-0.302340352534671	0.08245420933839785	-0.3182732178334087	0.1683994017066373	-0.2721303951393237	0.2016181331490302	0.027347384938602885	0.12424815955520495	0.018929694097566792	0.05827561126480993	0.01692863301686627	-0.05719898481982717	0.02293186517183952	-0.09217993816115849	0.19236519205853414	-0.09222382233385082	-0.168386039128	-0.09867805131757647
