Id	individual	ProcCoord1	ProcCoord2	ProcCoord3	ProcCoord4	ProcCoord5	ProcCoord6	ProcCoord7	ProcCoord8	ProcCoord9	ProcCoord10	ProcCoord11	ProcCoord12	ProcCoord13	ProcCoord14	ProcCoord15	ProcCoord16	ProcCoord17	ProcCoord18	ProcCoord19	ProcCoord20	ProcCoord21	ProcCoord22	ProcCoord23	ProcCoord24	ProcCoord25	ProcCoord26	ProcCoord27	ProcCoord28
JNT117	117	0.2843968561429534	0.20234325891695926	0.3072284879265909	-0.007702625666726297	0.24811030237696	-0.03990996729785724	0.024414304759813883	-0.5321491073332345	-0.19179242280474937	-0.013202410943739166	-0.23983168640610542	0.023524153461159058	-0.31435033722326605	0.15456907520712002	-0.26505470169205125	0.22443042098947288	0.012081131587149643	0.14862382458787285	0.018004846407022605	0.06675869131410742	0.02780578327791028	-0.03428536065370909	0.02684885112794866	-0.0569101699808098	0.21062587428833093	-0.07269516789019469	-0.14848728976850756	-0.06339461471042127
JNT118	118	0.2930616185381984	0.19759612964508766	0.2770921791453424	-0.009230514186738228	0.2672971367409431	-0.030817533416104673	0.0425265490107383	-0.5471450346090558	-0.2220940995822028	0.004135221110883254	-0.23836817965368035	0.019624929381034318	-0.2914594139352982	0.163171243221501	-0.2519250554432002	0.2004570407626842	0.013327142852280724	0.15003443250957096	0.015380128513097844	0.09922577119263132	0.02756577522507014	-0.04187575378037592	0.024438473933021572	-0.06708986930396238	0.20025503270218942	-0.07581601299573353	-0.15709728804650006	-0.062270049531422796
JNT119	119	0.33218745013788387	0.19295333625685138	0.3488507309689402	0.02428765482428942	0.34192764746262455	-0.003661915477530194	-0.044552973581683926	-0.4285288011426777	-0.25693266620221605	-0.024771838534824002	-0.28095299810738156	-0.004534084424983095	-0.3185760598634458	0.12399729024672237	-0.24766152406453346	0.17389112083130087	0.02441046159249627	0.1469700818961274	0.017540669605931536	0.05902822291399995	0.021834526282758275	-0.031283201997045935	0.01697385445903877	-0.062146032128950375	0.18663504505513276	-0.08519765875764623	-0.14168416374554527	-0.0810041745056343
JNT120	120	0.31220226348535546	0.23255440171141356	0.30093554491602176	0.08338060237480735	0.2602190961257155	0.018175581450284924	-0.054136384375328896	-0.5531203698476069	-0.18756131171058116	-0.01702353162229737	-0.24257456335554697	0.04099385582125068	-0.2782642972990154	0.14317728411998504	-0.2600297314595571	0.20903932803461786	0.026630549593501363	0.08627886218926646	0.026412673747747698	0.034709878707495076	0.0237266430542667	-0.0635841664943118	0.021826614670539434	-0.09966861729463597	0.19459117772323317	-0.05594683906980763	-0.14397827511635053	-0.05896627008046221
JNT122	122	0.3178223242233227	0.18498679247173375	0.2825787275258524	-0.014108891658956405	0.27693238604377496	-0.05137617438515818	0.07867445575495537	-0.4618902093431083	-0.2727966552498531	-0.026971430765192247	-0.3107379079710869	0.0014830841749973005	-0.29171899335421475	0.15644563830615524	-0.2101316676213058	0.22495001732406267	0.035861914886122885	0.18021008898826418	0.02288947753522472	0.08296203633887383	0.018528500820248085	-0.03140301589091299	0.016932618817665737	-0.07273204085916246	0.20159235860764113	-0.09098790387705855	-0.16642754001834786	-0.08156799082453844
JNT121	121	0.3004562579026975	0.2430374029836584	0.3211854577207617	0.018365509859116745	0.2985872513593158	-0.009663708386166966	-0.06505682753663103	-0.48146998267127433	-0.2239357447626575	-0.04410396684541109	-0.25652242718733154	-0.01827023521649781	-0.28732932730962596	0.1426146301650838	-0.23442009696610328	0.1955060338433432	0.027152748991325443	0.15726799000202482	0.019451670565305054	0.06381498511150388	0.01984009969508034	-0.044464703103042465	0.020133591771647998	-0.06493267657131882	0.22552689010377258	-0.0705398404273276	-0.16506954434755616	-0.08716143874369212
JNT123	123	0.2762571620836131	0.2380138636894136	0.26671312639088063	0.08359777530494233	0.24374000708808957	0.04088671541440377	-0.02158719995893367	-0.6822171431658808	-0.1727714230862979	-0.014780788483373122	-0.20368247388775332	0.03738872303041259	-0.2528492209142703	0.16155692555801232	-0.18326068654717254	0.2064531538524464	0.01863950880733967	0.11776832205184468	0.008606154780611908	0.07680009235029717	-0.007561156057449049	-0.04555337378095242	-0.007137906251424446	-0.08355441580866083	0.16536226673833077	-0.0738647695212879	-0.1304681591855656	-0.062495080491618386
JNT124	124	0.30753258330344124	0.18622300130367758	0.297759613651946	-0.04562050602518798	0.2556598635346164	-0.0501046826098735	0.08307236794063064	-0.5076339751180798	-0.21133575834552967	-0.0018010677019947505	-0.24060892740811532	0.024011922142990676	-0.3236153185581801	0.1599430755415534	-0.2731908773105152	0.22247108310234556	0.0054770220850987456	0.14160031034848033	0.018554688310950307	0.06008969242508916	0.025335754901274165	-0.02822702860087508	0.025674803337210974	-0.04962273080262059	0.2081934116001895	-0.07397843971745588	-0.17850922704301825	-0.03735065428804917
JNT125	125	0.285281647358398	0.18038504576011677	0.2898936236187649	0.052427676894767156	0.24759540136224395	-0.006431603251753758	0.046388739290037714	-0.5629826818534341	-0.1935939306352416	0.0046081417212713496	-0.23167084592647819	0.05983358215597818	-0.3014616406396324	0.18578934814261638	-0.264697825198881	0.22733422677493975	0.022155355989818895	0.10194336600577016	0.022614772465756175	0.04276224564722071	0.021084784273636463	-0.06953422588464234	0.018858411333512605	-0.0937770737165893	0.18475788217533076	-0.06272139269487105	-0.1472063754672674	-0.0596366557013894
JNT126	126	0.2394335613527351	0.23400338590016886	0.24681902091776217	0.031042148195522912	0.22655090737963207	-0.006060521658031049	0.09027954980636373	-0.6008201053904986	-0.18870952334017022	0.023825377919798777	-0.22804873990981522	0.09496828825494225	-0.2730544707064545	0.2185485983051431	-0.2628846416392514	0.29237622026370685	0.019853087894406075	0.09467403019425791	0.01728425566320594	0.019218270464853228	0.024407525728363348	-0.07676905590708535	0.02665935618137117	-0.1073816950252344	0.15868364312569255	-0.10197914909889688	-0.09727353245384064	-0.11564579241864723
