Id	species 	individual	jaw type	tooth position	ProcCoord1	ProcCoord2	ProcCoord3	ProcCoord4	ProcCoord5	ProcCoord6	ProcCoord7	ProcCoord8	ProcCoord9	ProcCoord10	ProcCoord11	ProcCoord12	ProcCoord13	ProcCoord14	ProcCoord15	ProcCoord16	ProcCoord17	ProcCoord18	ProcCoord19	ProcCoord20	ProcCoord21	ProcCoord22	ProcCoord23	ProcCoord24	ProcCoord25	ProcCoord26	ProcCoord27	ProcCoord28
Ca010L01	Ca	010	L	01	0.27200660075726246	0.23799050875111538	0.3379802662032947	0.0640037273705871	0.36654901612555063	-0.025357446918524616	-0.1049431064829132	-0.4218994069602833	-0.25236200334857556	-0.12473667563547605	-0.28859743544992583	0.01483636635488883	-0.2595429313688581	0.21900307959399778	-0.11757560040380327	0.19644520768312368	0.023769918521601093	0.18707059826406636	0.0025104118393290964	0.12142832466861038	0.002680958414475165	-0.024027152835032407	0.00597697596736795	-0.11976052763641584	0.16631048011849314	-0.17355476812027318	-0.15476355089329705	-0.1514418345803828
Ca010L10	Ca	010	L	10	0.3618295325972092	0.12427161288630337	0.41641973819411116	0.013603755784413397	0.3842207664994296	-0.06713326807572531	-0.017853850163119543	-0.26908593180978335	-0.33328906952053544	-0.08081971123908904	-0.3889241414830142	0.024746285586593628	-0.3053120418610151	0.1412768063569979	-0.1887288278712474	0.14776310055180775	0.01358433848308948	0.13323387160744238	0.006854643535776979	0.08647155171359995	0.002184091355558546	0.008754843457226226	0.0033746892692744154	-0.052586592975487234	0.13794015577323668	-0.10780626098592307	-0.09230002480875588	-0.102690062858377
Ca010L11	Ca	010	L	11	0.3624830999184167	0.17370845005361724	0.44081332405005547	0.07526309634627681	0.42029068102443096	-0.06292387201317806	-0.09158867787612932	-0.2581090812431291	-0.3169461581288493	-0.09197581126669134	-0.3339920790249823	0.029396687444716955	-0.30739690707353856	0.14257905123891185	-0.1589653893725541	0.1239438912954346	-0.0025874374009552635	0.13456934227143186	0.01215156283055975	0.06901340693946521	0.0034457616664712912	-0.004343784988979391	-0.006138042919178426	-0.04234773009855537	0.10634614744497775	-0.14723868919161273	-0.12791588513872343	-0.1415349567877095
Ca010L02	Ca	010	L	02	0.3182450814795505	0.16914407230784764	0.35730808269400777	0.044556695643087334	0.34225570702002994	-0.06811062647680263	-0.015436605556881193	-0.38901106304132094	-0.33559333123745805	-0.07211988567093637	-0.3393320692089464	0.028805331923753633	-0.242253609913133	0.1710397198242918	-0.15107677760381374	0.16054624031011727	0.0012931924062871344	0.16336665917882162	0.004546263233758587	0.11866361085412816	0.004420913891781432	0.01958177443413408	0.006545445162815555	-0.07352101749978555	0.16713097087099885	-0.1331493000558172	-0.11805326323899787	-0.13979221173151957
Ca010L03	Ca	010	L	03	0.2811927880312665	0.1879761893265779	0.34422025710340226	0.0627511476287385	0.34278047241034054	-0.04516609693913686	-0.018827906420817185	-0.43010229765485747	-0.3194830773526097	-0.041584772392758394	-0.3306597420971263	0.02592258551156572	-0.2674985093195342	0.1894571682448422	-0.11082708437445196	0.17314569929214604	0.028887502973901864	0.14704665725387003	0.012478112236404259	0.08018107086572569	-0.0024309611359310587	-0.013454569301536825	-0.0029343563828583188	-0.0855551243556479	0.16834915129538144	-0.12278406596106196	-0.12524664696736876	-0.12783359151846752
Ca010L04	Ca	010	L	04	0.32702156543275807	0.18703117460700902	0.36256790062813943	0.08092486242144893	0.3705559902762497	0.026326936168741603	-0.07141856839578853	-0.42283310374025695	-0.3418877303336901	-0.006937864396032008	-0.330144295998687	0.030084748649173466	-0.25284746417757886	0.14260132153905525	-0.12736561576254013	0.14084169998993934	0.024483337440553293	0.11693922370264023	0.013123955529822692	0.055691072464965345	0.013698847906749488	-0.050772532647698286	0.0029064227062185755	-0.1051841042551348	0.12455715110398	-0.10576001789387524	-0.11525149635618694	-0.08895341660997445
Ca010L05	Ca	010	L	05	0.3271416282545828	0.19334790588598047	0.3872053102993371	0.0795173075113596	0.35139205253161226	-0.013585903863983347	-0.07476981112313115	-0.403574474117885	-0.33323473648504065	-0.04709661299479461	-0.3229628542035745	0.0437766331741606	-0.259983331300537	0.1478316309151136	-0.14019528866958358	0.13862431297024114	0.007879775658305277	0.12834559958009162	0.005664861784918446	0.06825404399232883	0.009314818605802182	-0.025595873698802722	0.009706790988059294	-0.08884271803480401	0.13896981519479654	-0.12399239704617122	-0.10612903153554756	-0.0970094542728356
Ca010L06	Ca	010	L	06	0.3674444655536599	0.156283143014534	0.3804091992447153	0.06197411620100189	0.36525949501955707	-0.03580683372706086	-0.036799579305394715	-0.3304001969677889	-0.35953782557380787	-0.046627437113190985	-0.37757340293710523	0.036016543524879756	-0.2766973734726349	0.13354086873302787	-0.16977206082177626	0.12085483731913782	0.03363455784217323	0.11980840177056755	0.02976484800704777	0.06457849701807372	0.01723224422397102	-0.0032400520322797724	0.009132545176616514	-0.061211047664459256	0.11866247194288196	-0.12676915033855862	-0.1011595848999026	-0.08900168973788466
Ca010L07	Ca	010	L	07	0.35771920595334883	0.15554465875987702	0.40275714292926146	0.05937625504030277	0.38268453774894456	-0.019007095469716496	-0.054539737617182726	-0.3303596724809132	-0.3479368425721917	-0.057539551184117584	-0.36768179833260695	0.025238471129957897	-0.2786865837540745	0.14009886938558055	-0.14244095582866417	0.1239002021351008	0.018680275198541662	0.12450361275322896	0.010320261162695564	0.06880189512279938	0.013375028533200318	-0.005630325814697812	0.013125737853934564	-0.054402389274276236	0.1005150144501912	-0.12917197635574712	-0.1078912857253968	-0.10135295374737856
Ca010L08	Ca	010	L	08	0.36869576308466623	0.13763773507987942	0.41526584526379995	0.035999958503252355	0.37603443273332343	-0.02847167291966933	-0.0378382614670921	-0.30790942202050653	-0.3376378168075382	-0.049874018888272365	-0.3699897337791267	0.029241517895134198	-0.31135406683205374	0.13035979431860117	-0.16195829882123292	0.12413336179583608	0.021687155192764	0.1289323617506775	0.013660630691135463	0.0702089199947113	0.003774327482120705	-0.010018041144741151	0.0040587306600323335	-0.05247205953564826	0.11215663320473043	-0.10816096478558858	-0.09655534060553064	-0.09960747004366544
