Id	species	individual	jaw type	tooth position	replicate	ProcCoord1	ProcCoord2	ProcCoord3	ProcCoord4	ProcCoord5	ProcCoord6	ProcCoord7	ProcCoord8	ProcCoord9	ProcCoord10	ProcCoord11	ProcCoord12	ProcCoord13	ProcCoord14	ProcCoord15	ProcCoord16	ProcCoord17	ProcCoord18	ProcCoord19	ProcCoord20	ProcCoord21	ProcCoord22	ProcCoord23	ProcCoord24	ProcCoord25	ProcCoord26	ProcCoord27	ProcCoord28
Ca010U08A	Ca	010	U	08	A	0.3606658587453203	0.09651870267622042	0.32959429319972156	0.004932383797589937	0.2691835241965482	-0.040842441095019624	0.20144259717928287	-0.39283179893777204	-0.2588499858619185	-0.016900849971511055	-0.3083321769293581	0.06899093156620272	-0.32085312105140706	0.18076726279658606	-0.27411552605586054	0.19340031630653787	0.0022315612118060206	0.10832146513666718	0.005471012818274237	0.07349214999540002	0.004678594515366912	-0.011049745921451323	0.00534826891134409	-0.08460007253403858	0.17402644881329676	-0.09974148376376749	-0.19049134969241735	-0.08045682005164455
Ca010U09A	Ca	010	U	09	A	0.3526865504945193	0.08003743947732228	0.33470085181872916	0.0021371889118029994	0.27347960444519137	-0.043055113240567155	0.21426299221644754	-0.37710338584526165	-0.2687387548351486	-0.0045357485068126535	-0.31796861545219113	0.06752114493947506	-0.32801376559487155	0.15729848146581715	-0.2755532669591505	0.20104200659777965	0.02195564700809039	0.11652575104560864	0.007205242378382619	0.08450474253230068	0.007566827473491673	-0.027793403735415508	0.013762948874294858	-0.08930061667712375	0.1678553789198315	-0.09838689003827467	-0.20320164078761585	-0.06889159692665167
Ca002L01A	Ca	002	L	01	A	0.2383123142742256	0.22408748794982233	0.30046810666622603	0.05470158082864081	0.31237388450986575	-0.05910947471403108	0.00405048603832453	-0.5455335296609708	-0.21944234656792588	-0.07631741899276923	-0.2497311563111108	0.05354985384681745	-0.3041485024013233	0.15252605587466866	-0.22076956786062651	0.2238818551043013	0.02208279665280347	0.19643790855603896	0.007739565859791877	0.11970695608908254	0.014008891571337015	-0.026492945916962444	0.021438608783421565	-0.08747466126692711	0.16412285357848402	-0.12314018932646525	-0.0905059347934925	-0.10682347837124824
Ca002L10A	Ca	002	L	10	A	0.3793221029248169	0.16801345200915974	0.4313575576277938	0.06759685795098805	0.39161316850134686	-0.05849379497644855	-0.06100531631162895	-0.292262571502198	-0.30974439113554353	-0.07391705651288207	-0.3136632708267195	0.022623974191653858	-0.31874533340307903	0.09907647413338272	-0.2371159818817836	0.12178649395076184	0.004371971918726576	0.14833649492175413	-0.002314604897308231	0.08644872082783558	0.005354270132675362	-0.0018735240617971417	0.010705539056308994	-0.05785599370833025	0.11814018205760826	-0.11444854891711534	-0.09827589376321283	-0.11503097830676212
Ca002L11A	Ca	002	L	11	A	0.38938902835188494	0.18668706011883457	0.41991298387477466	0.08378902347952973	0.36872929753318795	-0.07257131985123845	-0.04454435374933454	-0.24461419662716324	-0.328612402338565	-0.07749456259564633	-0.33346585596781764	0.02846751678172582	-0.3294550219249752	0.13886660688331254	-0.2236153392056053	0.11284789418564298	0.011380401757372958	0.12828771935102476	0.030942032131542993	0.07275470437070672	-4.0297406344623476E-4	-0.02846311317890155	0.01933957158489525	-0.08222548563722372	0.13562396187820536	-0.12622959657544483	-0.1152213298621211	-0.12010225070515579
Ca002L02A	Ca	002	L	02	A	0.31719250044181935	0.21298897708860795	0.3260088372597602	0.08259108768697257	0.32900837166198105	-0.046289828575441	-0.05597688292629209	-0.4446875786393145	-0.28392142103884743	-0.03925979652277771	-0.2786255969610929	0.03574433437525046	-0.3184272012257155	0.12379523117192286	-0.23606748733727198	0.1685774997076404	0.04477887437524118	0.17113359115961832	0.030888876998106676	0.04139038479377693	0.032067888322199666	0.0018817454174389885	0.02031430440280503	-0.05464280146673133	0.15422052119948	-0.11822177726242447	-0.08146158517217336	-0.13500106893453964
Ca002L03A	Ca	002	L	03	A	0.3367536994768487	0.21493659125656112	0.3545899521496812	0.07302615705040476	0.3570571414280365	-0.03171853493207642	-0.08010463963674883	-0.4194203365147024	-0.26710763281906064	-0.051359342249319775	-0.28066644489884013	0.027856518508769725	-0.29669889905003133	0.0935110607443428	-0.2530483207528952	0.15170169153499402	0.03941088091048543	0.15594328695814114	0.010987495828759984	0.11030934006238004	0.008551807342699114	-0.025349935937938096	0.015215850196731882	-0.07895419852008352	0.1486338269240567	-0.12806451693805146	-0.09357471709972226	-0.09241778102342274
Ca002L04A	Ca	002	L	04	A	0.33217166972401596	0.2071067651331974	0.3480447491853308	0.08328963082923659	0.3581780968751361	-0.013220104846359437	-0.07539026147848005	-0.43688455008971633	-0.2807940486654901	-0.05234633575707748	-0.2859565149102434	0.023783115935115652	-0.29332377986633884	0.11800215872319714	-0.22223010051875242	0.15287430879258024	0.02503344466093162	0.1426504009033042	0.022194211262496016	0.10456101458799286	0.021046009892691064	-0.021517929455028173	0.02043923663148865	-0.07159316736565215	0.1300173077787403	-0.11945158979421329	-0.0994300205715244	-0.11725371759657893
Ca002L05A	Ca	002	L	05	A	0.3546106072842257	0.1966088353681197	0.3699464384245747	0.09037434277504328	0.37105953233853495	-0.01989621812819789	-0.10256180820423394	-0.40767733191209576	-0.2906404585719301	-0.0689886867590042	-0.29016272255623365	0.011383631050625342	-0.2946647099714013	0.10120257618513122	-0.22198683023472784	0.13940626349621205	0.029066000376029917	0.14239566209557472	0.016845738967409783	0.10905892452524002	0.02437034194311883	-0.0022425655705968365	0.01224020745933223	-0.056779220044916576	0.12532410959185147	-0.11191913405066688	-0.10344644684655124	-0.1229270790304684
Ca002L06A	Ca	002	L	06	A	0.3462728393384295	0.18168773896469123	0.3773463489250537	0.07649910222957364	0.3679942417930342	-0.02617344587478422	-0.07094276173271952	-0.3978715457865941	-0.25814966095822384	-0.03521752194873185	-0.30420129831339127	0.02804364959580321	-0.3195621270730905	0.09522838757357094	-0.2555022244377967	0.13270555759956007	0.03893941363904435	0.14399197281664514	0.005860587027303682	0.07763744047234072	0.001372775376527658	-0.017285198607932085	0.001877364687459011	-0.07110524439623317	0.14936235545828486	-0.10973487748529696	-0.08066785372991644	-0.07840601515261092
