Id	jaw type	tooth position	Side	ProcCoord1	ProcCoord2	ProcCoord3	ProcCoord4	ProcCoord5	ProcCoord6	ProcCoord7	ProcCoord8	ProcCoord9	ProcCoord10	ProcCoord11	ProcCoord12	ProcCoord13	ProcCoord14	ProcCoord15	ProcCoord16	ProcCoord17	ProcCoord18	ProcCoord19	ProcCoord20	ProcCoord21	ProcCoord22	ProcCoord23	ProcCoord24	ProcCoord25	ProcCoord26	ProcCoord27	ProcCoord28
Io093U01L	U	01	L	0.2636287258162129	0.23465406151877571	0.2642106351801251	0.0887963204179088	0.24813021964386417	0.05256203635384559	-0.1111997123747377	-0.6929415399005454	-0.18233685670570873	-0.022174861265666534	-0.2133635498802609	0.018626034193363065	-0.24400971134358268	0.1560285764389765	-0.19188237634258018	0.19990704553846517	0.01594910185699048	0.11625407758580969	0.013242372816285548	0.06560160837495627	0.017375304460867665	-0.0513082022494848	0.0200466666230893	-0.07915941774366651	0.19237010379397154	-0.01911952585552522	-0.09216092354453717	-0.06772621340721195
Io093U02L	U	02	L	0.31598973908012234	0.24438713432014258	0.2827989825478195	0.0945968376641109	0.2724214585310794	0.056951721700364125	-0.1472302051611284	-0.6231832042462043	-0.1757297257738763	-0.020327198958625017	-0.20555937671153282	0.014353315014873275	-0.26352767436278757	0.13614127737683673	-0.24064991871801483	0.1695502545638781	0.018132980476323585	0.09411658674568968	0.0222504740276978	0.058220676505297816	0.0244900070735216	-0.045712707073863414	0.02164018292834903	-0.0810916669766607	0.19330313273683386	-0.03610872605693357	-0.11833005667440734	-0.06189430057890592
Io093U03L	U	03	L	0.33787654821417307	0.2725157662696641	0.3138214476154617	0.054471856399889926	0.2890020300157389	0.00989434564636833	-0.11284988358879772	-0.47619140916800695	-0.19258546000007098	-0.06535317774744523	-0.22071085530122733	-0.0334584294190984	-0.28317034471544983	0.1776595302259191	-0.24440340576356248	0.23466724093859181	0.01084594437398041	0.10959166368027427	-0.00292704368103797	0.04555065885874316	-0.006794853043000989	-0.06452766856642674	-0.006044168022035754	-0.09457744667373306	0.235018772244794	-0.061672543696468705	-0.11707872834896421	-0.10857038674827085
Io093U04L	U	04	L	0.4233315366961672	0.24168150582973183	0.3187222078435965	0.0681577257306724	0.277900523196729	0.02533149549606585	-0.1531453828640056	-0.4893621849549728	-0.19533618747184853	-0.0410763381595538	-0.24458670112178008	-0.021395961963908253	-0.3182441934314805	0.0905522904098826	-0.26220245421824045	0.1378048108588998	0.054888468807384454	0.12067360654827154	0.03416341146853546	0.06220629233498366	0.012495976501125841	-0.03350541392283308	0.00819410100853054	-0.05945257603172643	0.187355636831007	-0.04431022452808318	-0.14353694324572072	-0.05730502764742955
Io093U05L	U	05	L	0.39917757827934136	0.20454788846531397	0.2884010459919361	0.056315477751170934	0.24744720318239966	0.004007435210735953	-0.1098786376623308	-0.5339120026368956	-0.18870167059039222	-0.045670635601643354	-0.22159362694995313	-0.01236406925612724	-0.3101935752712013	0.11205865405243762	-0.27747468654779733	0.16957081437698657	0.04097369210687667	0.11695776928369493	0.028782705196077334	0.0712385741743968	0.020535330171508576	-0.009842667465375784	0.014460377797382892	-0.042139625534958876	0.21600425940949516	-0.03135534671466045	-0.14793999511334285	-0.059412266105075176
Io093U06L	U	06	L	0.34440044798156544	0.1927953486470781	0.2854247498796918	0.041495995036037486	0.24363889370524708	0.006810864672522347	-0.05253683133783239	-0.5634735754713702	-0.20243572804841922	-0.01523944730071887	-0.23681254833067256	0.025053937887524958	-0.28993244138651975	0.13319683279079333	-0.27097946092803377	0.1770183760755013	0.044565900237665976	0.10870418421379544	0.04412422222069567	0.07332554579766092	0.024317776826443066	-0.020110291082243888	0.01402420098194154	-0.0552023339245793	0.20477149772836614	-0.042457138290859814	-0.15257067953013828	-0.06191829905114289
Io093U07L	U	07	L	0.35070916873083874	0.1993599512690338	0.30875502254342796	0.04803239042763204	0.2525017843082889	0.007464998364629681	-0.08734185972487733	-0.5275118440426685	-0.18914884556052344	-0.048628168885968416	-0.2237851438333212	0.005594365135858672	-0.2992951726232134	0.13859747663656513	-0.28423043287844707	0.19467007648661572	0.02699229135470302	0.12815475842049703	0.03456738906180854	0.08228548430884525	0.033204624096221595	-0.02901866328841862	0.019896654548165457	-0.06748609459587299	0.19253362714517167	-0.052230861947521814	-0.1353591071682422	-0.07928386828922677
Io093U08L	U	08	L	0.3545466751462369	0.2195161693522622	0.3270867054479318	0.06536076745352666	0.2633550584522511	0.0065856268755431074	-0.06673127281325175	-0.5028136564233825	-0.22123031679813723	-0.03857769374935058	-0.2514116702221319	0.012894899313893357	-0.2788989488387123	0.1388484956540106	-0.23772492438282933	0.18943482524682909	0.0271538265836726	0.12451858550357858	0.019963517312012506	0.062050928169383464	0.001702070593357983	-0.038833478461696075	-0.0018833018933516292	-0.07851408093886784	0.2064487600173596	-0.07032277069763845	-0.14237617860440854	-0.09014861729809107
Io093U09L	U	09	L	0.35584309603332326	0.2312527767157984	0.31675510701987414	0.034448670793553376	0.26538733708376927	-0.006770299712325439	-0.046687072929526396	-0.46677891165078883	-0.22941214418440262	-0.05412502621261707	-0.2587246469891068	-0.008700425107465454	-0.2774425799197992	0.16780134420079104	-0.23731798327587775	0.2299323355218936	0.01648009338208902	0.14419401201777485	0.005851713839453701	0.03141280374207941	0.0013432863571781785	-0.058699481597616295	5.829697812673972E-4	-0.10054628917340798	0.21619828598733903	-0.04522081147187032	-0.1288574621855825	-0.09820069806579781
Io093U10L	U	10	L	0.3352481498063512	0.2698164804598695	0.3167732713124746	0.04361301158246375	0.26703739038140595	-0.016150159552211937	-0.06922571378529388	-0.43349861107022397	-0.21607638114125804	-0.06111757213833506	-0.2792347199564673	-0.029384710215528798	-0.28976892182244085	0.17752441826461302	-0.2213562684726903	0.24467358593953561	0.02596946019140672	0.15330089263324134	0.016991112538495716	0.0081268909597497	0.012403911288120746	-0.0579658281756072	0.01187061386770736	-0.09229908075903745	0.23026499542923848	-0.08729974790023462	-0.14089689963704838	-0.11933957002829362
